date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:36	5085/5085	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2022:49:26%20GMT	http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist/utca5.png?page=print	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/View/logo/funkprog/8graflist/utca5d067.html	(from http://prog.berzsenyi.hu:8080/prog/View/logo/funkprog/8graflist)
01:30:36	2030/2030	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:28%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5343&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download695f.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/halado_sokszog/forgo3.png)
01:30:37	6989/6989	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:28%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=3344&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloade39e.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/gyakrek/rekh.png)
01:30:37	1731/1731	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:29%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5339&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download84bf.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/halado_sokszog/lepcso.png)
01:30:37	1174/1174	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:29%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5337&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download3404.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/halado_sokszog/lepcsofok.png)
01:30:37	1652/1652	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:29%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5338&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download2aba.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/halado_sokszog/lepcso2.png)
01:30:38	16608/16608	---MC-	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:28%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=3347&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadc89e.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/gyakrek/negyzetek.png)
01:30:38	1962/1962	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:30%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5342&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download2efa.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/halado_sokszog/paralel.png)
01:30:38	1878/1878	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:30%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5336&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download311e.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/halado_sokszog/trapez.png)
01:30:38	2776/2776	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:30%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5340&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download59e3.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/halado_sokszog/trapezsok1.png)
01:30:39	2917/2917	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:30%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5341&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download0387.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/halado_sokszog/trapezsok2.png)
01:30:39	2855/2855	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:31%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=2865&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download1a1f.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/hetszegmens/7seg1.png)
01:30:40	6820/6820	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:31%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=2866&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download59ba.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/hetszegmens/7seg2.png)
01:30:40	6151/6151	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:31%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=2867&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download5448.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/hetszegmens/7seg3.png)
01:30:41	5615/5615	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:33%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4269&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download3c27.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/Download_003.png)
01:30:41	2546/2546	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:33%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4272&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadbb09.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/Download_004.png)
01:30:41	10586/10586	---MC-	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:31%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4267&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download4445.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/darts.png)
01:30:42	3195/3195	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:34%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4270&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadf4f4.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/Download_007.png)
01:30:42	1975/1975	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:34%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4268&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download2561.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/Download_009.png)
01:30:42	8160/8160	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:34%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4271&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadb162.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/Download_005.png)
01:30:43	2169/2169	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:35%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5398&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download291c.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/lohere.png)
01:30:43	8474/8474	---MC-	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:34%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4274&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadb86a.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/Download_011.png)
01:30:43	86962/86962	---MC-	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:26%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=3346&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download7806.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/gyakrek/csipke.png)
01:30:44	1770/1770	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:36%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4242&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Downloadd87a.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/napA.png)
01:30:44	5703/5703	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:35%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5397&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download2f18.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/mandala.png)
01:30:44	19490/19490	---MC-	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:35%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4273&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download796d.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/Download_012.png)
01:30:44	3778/3778	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:36%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=4243&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download3ad8.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/napB.png)
01:30:45	7734/7734	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:36%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=3133&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download2457.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/yinyang.png)
01:30:45	1653/1653	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:37%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5347&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download0a9b.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/parketta/hcs.png)
01:30:45	13163/13163	---MC-	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:36%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=3131&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download8594.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/korok/taize.png)
01:30:46	5386/5386	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Aug%202012%2022:49:37%20GMT	http://prog.berzsenyi.hu:8080/prog/Download?page=print&node=5348&method=binary	/home/erben/websites/prog.bdg/prog.berzsenyi.hu_8080/prog/Download1f18.png	(from http://prog.berzsenyi.hu:8080/prog/View/logo/parketta/hh.png)
